,№ п/п,Номер ТП,Адрес ТП,Вид ТП,Тип по размещению,Источник теплоснабжения,Административный округ (ТП),Муниципальный район,Дата ввода в эксплуатацию,Балансодержатель,Адрес строения,Тепловая нагрузка ГВС ср.,Тепловая нагрузка ГВС факт.,Тепловая нагрузка отопления строения,Тепловая нагрузка вентиляции строения,Диспетчеризация
2939,2940,04-06-0601/016,"Щёлковское шоссе, д.77, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1979-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.77, корп.4",0.19,0.4186643,0.42,0.0,да
2940,2941,04-10-032,"ул. Дмитриевского, д.21, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-06-26,ПАО «МОЭК»,"ул. Дмитриевского, д.19",0.253977,0.8889195,0.1935,0.1422,нет
2941,2942,04-10-032,"ул. Дмитриевского, д.21, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-06-26,ПАО «МОЭК»,"ул. Дмитриевского, д.23",0.401791,0.9039966,1.502206,0.0,нет
2942,2943,04-10-032,"ул. Дмитриевского, д.21, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-06-26,ПАО «МОЭК»,"ул. Дмитриевского, д.17",0.401793,0.9040023,1.584,0.0,нет
2943,2944,04-10-032,"ул. Дмитриевского, д.21, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-06-26,ПАО «МОЭК»,"ул. Дмитриевского, д.21",0.0485,0.16975,0.119948,0.13371,нет
2944,2945,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"3-я Сокольническая ул., д.7",0.0,0.0,0.17,0.0,да
2945,2946,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"ул. Барболина, д.4",0.21,0.488,0.630001,0.0,да
2946,2947,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"4-я Сокольническая ул., д.3",0.28,0.616,0.51,0.0,да
2947,2948,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"2-я Сокольническая ул., д.8",0.12,0.264,0.26,0.0,да
2948,2949,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"3-я Сокольническая ул., д.3",0.03,0.105,0.13,0.04,да
2949,2950,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"3-я Сокольническая ул., д.4",0.28,0.616,0.51,0.0,да
2950,2951,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"2-я Сокольническая ул., д.4",0.1,0.22,0.32,0.0,да
2951,2952,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"3-я Сокольническая ул., д.5",0.0,0.0,0.13,0.0,да
2952,2953,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"2-я Сокольническая ул., д.6",0.12,0.264,0.26,0.0,да
2953,2954,04-02-0608/055,"2-я Сокольническая ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"ул. Гастелло, д.3",0.0865,0.30275,0.3076,0.4562,да
2954,2955,20-06-0607/071,"Преображенская пл., д.6",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Преображенское,2004-10-10,ПАО «МОЭК»,"Преображенская пл., д.6",0.3041,0.69502,1.45,0.672,нет
2955,2956,20-06-0607/071,"Преображенская пл., д.6",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Преображенское,2004-10-10,ПАО «МОЭК»,"Преображенская пл., д.4",0.1725,0.39809,0.639,0.185,нет
2956,2957,04-10-015,"Красносолнечная ул., д.40А",ИТП,Подвальное,ТЭЦ №22,Восточный,район Косино-Ухтомский,2007-10-01,ПАО «МОЭК»,"Красносолнечная ул., д.40А",0.0,0.0,0.0,0.0,нет
2957,2958,04-03-0223/019,"Федеративный просп., д.15, корп.1, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1985-01-01,ПАО «МОЭК»,"ул. Металлургов, д.62",0.32,0.704,0.79,0.0,да
2958,2959,04-03-0223/019,"Федеративный просп., д.15, корп.1, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1985-01-01,ПАО «МОЭК»,"Федеративный просп., д.15, корп.1",0.27,0.594,0.93,0.02,да
2959,2960,04-02-0409/099,"Вольная ул., д.4, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1967-01-01,ПАО «МОЭК»,"Вольная ул., д.4",0.3309,0.72798,1.0,0.0,да
2960,2961,04-02-0422/086,"Щербаковская ул., д.44А",ИТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1956-01-01,ПАО «МОЭК»,"Щербаковская ул., д.44А",0.21,0.47539,0.72,0.0,да
2961,2962,04-01-0607/036,"Ивантеевская ул., д.20, стр.2",ИТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1960-01-01,ПАО «МОЭК»,"Ивантеевская ул., д.20",0.12,0.264,0.27,0.0,да
2962,2963,04-03-0221/054,"Перовская ул., д.38, стр.7",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,2004-01-01,ПАО «МОЭК»,"Перовская ул., д.36, корп.3",0.2795,0.6149,0.80189,0.0,да
2963,2964,04-03-0221/054,"Перовская ул., д.38, стр.7",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,2004-01-01,ПАО «МОЭК»,"Перовская ул., д.36, корп.4",0.2795,0.6149,0.80189,0.0,да
2964,2965,04-04-0212/095,"Косинская ул., д.26А",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.39В",0.008,0.028,0.099,0.09,нет
2965,2966,04-04-0212/095,"Косинская ул., д.26А",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.39А",0.0,0.0,0.09,0.0,нет
2966,2967,04-04-0212/095,"Косинская ул., д.26А",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.39Б",0.013,0.0455,0.115,0.03,нет
2967,2968,04-04-0212/095,"Косинская ул., д.26А",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Косинская ул., д.26А",0.014,0.049,0.052,0.0,нет
2968,2969,04-04-0212/095,"Косинская ул., д.26А",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.39Г",0.01,0.035,0.01632,0.0,нет
2969,2970,04-04-0212/095,"Косинская ул., д.26А",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.39Д",0.03,0.105,0.04804,0.0,нет
2970,2971,04-02-0422/001,"ул. Семёновский Вал, д.12",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1964-01-01,ПАО «МОЭК»,"ул. Семёновский Вал, д.10, корп.3",0.07,0.154,0.19,0.0,да
2971,2972,04-02-0422/001,"ул. Семёновский Вал, д.12",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1964-01-01,ПАО «МОЭК»,"ул. Семёновский Вал, д.10, корп.1",0.075,0.1728,0.205,0.0,да
2972,2973,04-02-0422/001,"ул. Семёновский Вал, д.12",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1964-01-01,ПАО «МОЭК»,"ул. Семёновский Вал, д.8",0.062,0.217,0.173,0.0,да
2973,2974,04-02-0422/001,"ул. Семёновский Вал, д.12",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1964-01-01,ПАО «МОЭК»,"ул. Семёновский Вал, д.10, корп.2",0.135,0.297,0.34,0.0,да
2974,2975,04-02-0422/001,"ул. Семёновский Вал, д.12",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1964-01-01,ПАО «МОЭК»,"ул. Семёновский Вал, д.12",0.084,0.1913,0.24,0.0,да
2975,2976,04-02-0422/001,"ул. Семёновский Вал, д.12",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1964-01-01,ПАО «МОЭК»,"ул. Семёновский Вал, д.10Б",0.0065,0.02275,0.0272,0.0,да
2976,2977,04-06-0601/042,"Камчатская ул., д.4, корп.1",ИТП,Подвальное,ТЭЦ №23,Восточный,район Гольяново,2008-01-01,ПАО «МОЭК»,"Камчатская ул., д.4, корп.1",0.29297,0.656715,0.573,0.29446,нет
2977,2978,04-05-0602/059,"3-я Прядильная ул., д.13, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1968-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.13, корп.2",0.0,0.0,0.0,0.0,да
2978,2979,04-05-0602/059,"3-я Прядильная ул., д.13, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1968-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.13, корп.1",0.0,0.0,0.0,0.0,да
2979,2980,04-05-0602/059,"3-я Прядильная ул., д.13, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1968-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.13, корп.3",0.0,0.0,0.0,0.0,да
2980,2981,04-03-0209/073,"Новогиреевская ул., д.4, корп.1",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1960-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.4, корп.1",0.13,0.2925,0.43,0.0,да
2981,2982,04-03-0209/104,"ул. Металлургов, д.18, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1962-01-01,ПАО «МОЭК»,"ул. Металлургов, д.16",0.05,0.175,0.2,0.01,да
2982,2983,04-03-0209/104,"ул. Металлургов, д.18, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1962-01-01,ПАО «МОЭК»,"ул. Металлургов, д.20, корп.2",0.08,0.176,0.14,0.0,да
2983,2984,04-03-0209/104,"ул. Металлургов, д.18, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1962-01-01,ПАО «МОЭК»,"ул. Металлургов, д.20, корп.1",0.07,0.154,0.14,0.0,да
2984,2985,04-03-0209/104,"ул. Металлургов, д.18, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1962-01-01,ПАО «МОЭК»,"ул. Металлургов, д.16А",0.05,0.175,0.2,0.01,да
2985,2986,04-03-0209/104,"ул. Металлургов, д.18, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1962-01-01,ПАО «МОЭК»,"3-я Владимирская ул., д.24",0.03,0.105,0.098,0.0,да
2986,2987,04-03-0209/104,"ул. Металлургов, д.18, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1962-01-01,ПАО «МОЭК»,"ул. Металлургов, д.18",0.08,0.176,0.14,0.0,да
2987,2988,04-03-0209/104,"ул. Металлургов, д.18, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1962-01-01,ПАО «МОЭК»,"ул. Металлургов, д.22/22",0.3,0.66,0.62,0.0,да
2988,2989,04-03-0209/104,"ул. Металлургов, д.18, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1962-01-01,ПАО «МОЭК»,"ул. Металлургов, д.20, корп.3",0.07,0.154,0.14,0.0,да
2989,2990,04-03-0209/054,"Новогиреевская ул., д.12, корп.2",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1958-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.12, корп.2",0.07,0.154,0.24,0.0,да
2990,2991,04-10-092,"Лухмановская ул., д.17, стр.2",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2007-01-15,ПАО «МОЭК»,"Лухмановская ул., д.13А",0.045866,0.160531,0.243,0.1422,нет
2991,2992,04-10-092,"Лухмановская ул., д.17, стр.2",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2007-01-15,ПАО «МОЭК»,"Лухмановская ул., д.11",0.325311,0.7219983,0.527,0.0,нет
2992,2993,04-03-0209/027,"Зелёный просп., д.10",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1964-01-01,ПАО «МОЭК»,"Зелёный просп., д.10/32, корп.19",0.03,0.105,0.1,0.0,нет
2993,2994,04-10-031,"Святоозерская ул., д.30, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-01-27,ПАО «МОЭК»,"Святоозерская ул., д.34",0.315364,0.7120008,1.179995,0.0,нет
2994,2995,04-10-031,"Святоозерская ул., д.30, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-01-27,ПАО «МОЭК»,"ул. Дмитриевского, д.23, корп.1",0.223447,0.5043377,0.793524,0.0,нет
2995,2996,04-10-031,"Святоозерская ул., д.30, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-01-27,ПАО «МОЭК»,"Святоозерская ул., д.30",0.016857,0.0589995,0.04051,0.03964,нет
2996,2997,04-10-031,"Святоозерская ул., д.30, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-01-27,ПАО «МОЭК»,"Святоозерская ул., д.32",0.463593,1.0399988,1.693381,0.0,нет
2997,2998,04-10-031,"Святоозерская ул., д.30, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-01-27,ПАО «МОЭК»,"Святоозерская ул., д.28",0.03314,0.11599,0.07485,0.0,нет
2998,2999,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"Зелёный просп., д.25, корп.3",0.073,0.1606,0.181,0.0,нет
2999,3000,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"Зелёный просп., д.25, корп.1",0.095,0.209,0.234,0.0,нет
3000,3001,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.37, корп.2",0.095,0.209,0.234,0.0,нет
3001,3002,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.35",0.092,0.2024,0.228,0.0,нет
3002,3003,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"Зелёный просп., д.25, корп.2",0.095,0.209,0.234,0.0,нет
3003,3004,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"Зелёный просп., д.27, корп.1",0.207,0.456167,0.511,0.0,нет
3004,3005,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"Зелёный просп., д.23/43",0.105,0.231,0.261,0.0,нет
3005,3006,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.31",0.095,0.209,0.234,0.0,нет
3006,3007,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.41, корп.2",0.095,0.209,0.234,0.0,нет
3007,3008,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.41, корп.1",0.111,0.2494,0.277,0.0,нет
3008,3009,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.41, корп.2, стр.8",0.0,0.0,0.005,0.0,нет
3009,3010,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.33",0.092,0.2024,0.228,0.0,нет
3010,3011,04-03-0209/110,"2-я Владимирская ул., д.41, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.39",0.095,0.209,0.234,0.0,нет
3011,3012,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"Сиреневый бульв., д.40, корп.1",0.11,0.242,0.256,0.0,да
3012,3013,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"Сиреневый бульв., д.34, корп.2",0.11,0.242,0.256,0.0,да
3013,3014,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"13-я Парковая ул., д.21А",0.02,0.07,0.14,0.07,да
3014,3015,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"Верхняя Первомайская ул., д.69, корп.2",0.11,0.242,0.256,0.0,да
3015,3016,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"13-я Парковая ул., д.19",0.11,0.242,0.256,0.0,да
3016,3017,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"13-я Парковая ул., д.17",0.1,0.22,0.256,0.0,да
3017,3018,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"Верхняя Первомайская ул., д.71, корп.2",0.11,0.242,0.256,0.0,да
3018,3019,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"Верхняя Первомайская ул., д.69, корп.1",0.11,0.242,0.256,0.0,да
3019,3020,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"13-я Парковая ул., д.21",0.11,0.24239,0.256,0.0,да
3020,3021,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"Сиреневый бульв., д.38",0.11,0.242,0.256,0.0,да
3021,3022,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"Сиреневый бульв., д.40, корп.2",0.11,0.242,0.256,0.0,да
3022,3023,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"Сиреневый бульв., д.34, корп.1",0.11,0.242,0.256,0.0,да
3023,3024,04-07-0604/022,"Верхняя Первомайская ул., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2007-10-01,ПАО «МОЭК»,"Верхняя Первомайская ул., д.71, корп.1",0.11,0.242,0.256,0.0,да
3024,3025,04-02-0409/028,"5-я ул. Соколиной Горы, д.27, корп.1",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1952-01-01,ПАО «МОЭК»,"8-я ул. Соколиной Горы, д.24, корп.1",0.077,0.1694,0.18,0.0,да
3025,3026,04-02-0409/028,"5-я ул. Соколиной Горы, д.27, корп.1",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1952-01-01,ПАО «МОЭК»,"5-я ул. Соколиной Горы, д.27, корп.1",0.012,0.0303,0.342,0.0,да
3026,3027,04-02-0409/028,"5-я ул. Соколиной Горы, д.27, корп.1",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1952-01-01,ПАО «МОЭК»,"5-я ул. Соколиной Горы, д.27, корп.2",0.015084,0.041094,0.34761,0.0,да
3027,3028,04-02-0409/028,"5-я ул. Соколиной Горы, д.27, корп.1",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1952-01-01,ПАО «МОЭК»,"8-я ул. Соколиной Горы, д.24, корп.2",0.053,0.1166,0.13,0.0,да
3028,3029,04-02-0409/028,"5-я ул. Соколиной Горы, д.27, корп.1",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1952-01-01,ПАО «МОЭК»,"5-я ул. Соколиной Горы, д.27, корп.3",0.06,0.132,0.32,0.0,да
3029,3030,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.2",0.12,0.42,0.65,0.94,да
3030,3031,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.11",0.0,0.0,0.0,0.0,да
3031,3032,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.7",0.04,0.14,0.08,0.24,да
3032,3033,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.1",0.129,0.4515,0.428,0.43,да
3033,3034,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.8",0.0455,0.15925,0.212,0.507,да
3034,3035,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.10",0.3636,1.2726,0.758,1.608,да
3035,3036,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.3",0.13,0.455,0.57,0.53,да
3036,3037,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.4",0.12,0.42,0.53,0.96,да
3037,3038,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1",0.04,0.14,0.25,0.0,да
3038,3039,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.6",0.01,0.035,0.047,0.048,да
3039,3040,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, стр.2",0.03,0.105,0.05,0.11,да
3040,3041,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, стр.9",0.0,0.0,0.002,0.0,да
3041,3042,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.9",0.1818,0.6363,0.47,1.18,да
3042,3043,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, стр.8",0.0,0.0,0.05,0.0,да
3043,3044,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Борисовская ул., д.26А",0.001,0.0035,0.05,0.0,да
3044,3045,04-02-0609/002,"Фортунатовская ул., д.1, корп.6",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Соколиная Гора,2007-10-01,ПАО «МОЭК»,"Фортунатовская ул., д.1, корп.12",0.0,0.0,0.0,0.0,да
3045,3046,04-05-0602/034,"3-я Прядильная ул., д.4, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.6",0.07,0.15478,0.187,0.0,да
3046,3047,04-05-0602/034,"3-я Прядильная ул., д.4, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.8",0.07,0.154,0.18,0.0,да
